Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.33.42,77.896883,29.863221,JIO4G,4G,-77,4,226,
2025.04.02_18.33.45,77.896864,29.863128,JIO4G,4G,-77,3,227,
2025.04.02_18.33.49,77.896864,29.863128,JIO4G,2G,-113,3,227,
2025.04.02_18.33.51,77.896864,29.863128,JIO4G,4G,-74,3,227,
2025.04.02_18.33.52,77.896845,29.863033,JIO4G,4G,-74,3,228,
2025.04.02_18.34.02,77.896825,29.86294,JIO4G,4G,-73,3,231,
2025.04.02_18.34.14,77.896803,29.862843,JIO4G,4G,-72,3,229,
2025.04.02_18.34.24,77.896768,29.86275,JIO4G,4G,-73,3,231,
2025.04.02_18.34.34,77.89674,29.862653,JIO4G,4G,-75,3,236,
2025.04.02_18.34.40,77.896731,29.86256,JIO4G,4G,-82,3,236,
2025.04.02_18.34.41,77.896731,29.86256,JIO4G,4G,-78,3,236,
2025.04.02_18.34.48,77.896745,29.862466,JIO4G,4G,-83,3,236,
2025.04.02_18.34.55,77.896848,29.862433,JIO4G,4G,-83,3,238,
2025.04.02_18.35.01,77.896968,29.862403,JIO4G,4G,-81,3,238,
2025.04.02_18.35.14,77.897081,29.862378,JIO4G,4G,-78,3,222,
2025.04.02_18.35.20,77.897186,29.862355,JIO4G,4G,-78,3,218,
2025.04.02_18.35.30,77.897298,29.862341,JIO4G,4G,-78,3,220,
2025.04.02_18.35.37,77.897404,29.862344,JIO4G,4G,-79,4,222,
2025.04.02_18.35.48,77.897511,29.862331,JIO4G,4G,-76,3,226,
2025.04.02_18.36.08,77.897603,29.862376,JIO4G,4G,-80,1,226,
2025.04.02_18.36.14,77.897723,29.862373,JIO4G,4G,-77,3,223,
2025.04.02_18.36.20,77.897838,29.862388,JIO4G,4G,-75,4,226,
2025.04.02_18.36.29,77.897943,29.862395,JIO4G,4G,-76,4,235,
2025.04.02_18.36.40,77.89804,29.86235,JIO4G,4G,-74,3,241,
2025.04.02_18.36.49,77.898135,29.862308,JIO4G,4G,-74,3,241,
2025.04.02_18.36.56,77.89824,29.862265,JIO4G,4G,-77,4,234,
2025.04.02_18.37.02,77.898346,29.862265,JIO4G,4G,-76,3,231,
2025.04.02_18.37.07,77.898453,29.862291,JIO4G,4G,-76,3,229,
2025.04.02_18.37.17,77.898561,29.862275,JIO4G,4G,-76,3,229,
2025.04.02_18.37.26,77.89867,29.862276,JIO4G,4G,-74,3,229,
2025.04.02_18.37.27,77.89867,29.862276,JIO4G,2G,-113,3,229,
2025.04.02_18.37.29,77.89867,29.862276,JIO4G,4G,-71,3,229,
2025.04.02_18.37.36,77.898785,29.862276,JIO4G,4G,-73,3,232,
2025.04.02_18.37.45,77.898881,29.862311,JIO4G,4G,-72,4,237,
2025.04.02_18.37.52,77.898999,29.862308,JIO4G,4G,-70,4,237,
2025.04.02_18.37.57,77.899103,29.862298,JIO4G,4G,-76,4,236,
